unix,date,symbol,open,high,low,close,Volume ETH,Volume GBP,tradecount
1659891600000,2022-08-07 17:00:00,ETH/GBP,1414.48000000,1422.00000000,1414.22000000,1418.96000000,282.68600000,400838.71671800,619
1659888000000,2022-08-07 16:00:00,ETH/GBP,1408.19000000,1416.87000000,1405.80000000,1414.40000000,225.69890000,318929.20932900,445
1659884400000,2022-08-07 15:00:00,ETH/GBP,1413.41000000,1414.09000000,1407.24000000,1407.71000000,214.03600000,301784.49889700,490
1659880800000,2022-08-07 14:00:00,ETH/GBP,1415.59000000,1416.60000000,1404.66000000,1412.55000000,247.96220000,350094.41989300,508
1659877200000,2022-08-07 13:00:00,ETH/GBP,1417.87000000,1422.01000000,1412.44000000,1415.91000000,248.87000000,352567.93567900,490
1659873600000,2022-08-07 12:00:00,ETH/GBP,1403.67000000,1418.15000000,1402.00000000,1416.56000000,482.25390000,679540.28237200,768
1659870000000,2022-08-07 11:00:00,ETH/GBP,1397.14000000,1404.66000000,1394.57000000,1403.49000000,190.65530000,266483.04226600,371
1659866400000,2022-08-07 10:00:00,ETH/GBP,1396.77000000,1398.20000000,1394.33000000,1397.28000000,270.08280000,377188.56254300,472
1659862800000,2022-08-07 09:00:00,ETH/GBP,1392.63000000,1397.81000000,1388.53000000,1396.93000000,323.44050000,450853.31359800,539
1659859200000,2022-08-07 08:00:00,ETH/GBP,1398.33000000,1398.37000000,1391.26000000,1392.47000000,301.97690000,421042.76404600,481
1659855600000,2022-08-07 07:00:00,ETH/GBP,1395.82000000,1400.30000000,1394.92000000,1398.36000000,222.31650000,310671.35075400,357
1659852000000,2022-08-07 06:00:00,ETH/GBP,1393.69000000,1396.48000000,1393.00000000,1395.81000000,169.29690000,236177.17767800,245
1659848400000,2022-08-07 05:00:00,ETH/GBP,1388.88000000,1397.98000000,1388.88000000,1393.20000000,146.50140000,204171.87164200,351
1659844800000,2022-08-07 04:00:00,ETH/GBP,1396.11000000,1399.21000000,1387.18000000,1389.73000000,249.13010000,347493.95205200,345
1659841200000,2022-08-07 03:00:00,ETH/GBP,1397.42000000,1399.69000000,1390.30000000,1396.11000000,223.06130000,311303.43714000,322
1659837600000,2022-08-07 02:00:00,ETH/GBP,1389.54000000,1398.46000000,1387.58000000,1397.39000000,252.37420000,351373.37731800,399
1659834000000,2022-08-07 01:00:00,ETH/GBP,1385.13000000,1391.19000000,1384.01000000,1389.67000000,313.12290000,434420.43594700,505
1659830400000,2022-08-07 00:00:00,ETH/GBP,1401.55000000,1406.92000000,1383.73000000,1386.26000000,324.01990000,453487.56323000,524
1659826800000,2022-08-06 23:00:00,ETH/GBP,1419.05000000,1420.55000000,1399.01000000,1401.46000000,365.25410000,513836.15064500,629
1659823200000,2022-08-06 22:00:00,ETH/GBP,1424.16000000,1427.17000000,1418.30000000,1419.66000000,266.81340000,379278.25539900,410
